date,mr,y
2025-07-08,50.0,1.0
2025-07-08,50.0,1.0
2025-07-08,50.0,1.0
2025-07-09,50.0,1.0
2025-07-09,50.0,1.0
2025-07-09,50.0,1.0
2025-07-10,50.0,1.0
2025-07-10,50.0,1.0
2025-07-10,50.0,1.0
2025-07-11,50.0,1.0
2025-07-11,50.0,1.0
2025-07-11,50.0,1.0
2025-07-12,50.0,1.0
2025-07-12,50.0,1.0
2025-07-12,50.0,1.0
2025-07-13,50.0,1.0
2025-07-13,50.0,1.0
2025-07-13,50.0,1.0
2025-07-14,50.0,1.0
2025-07-14,50.0,1.0
2025-07-14,50.0,1.0
2025-07-15,50.0,1.0
2025-07-15,50.0,1.0
2025-07-15,50.0,1.0
2025-07-16,50.0,1.0
2025-07-16,50.0,1.0
2025-07-16,50.0,1.0
2025-07-17,50.0,1.0
2025-07-17,50.0,1.0
2025-07-17,50.0,1.0
2025-07-18,50.0,1.0
2025-07-18,50.0,1.0
2025-07-18,50.0,1.0
2025-07-19,50.0,1.0
2025-07-19,50.0,1.0
2025-07-19,50.0,1.0
2025-07-20,50.0,1.0
2025-07-20,50.0,1.0
2025-07-20,50.0,1.0
2025-07-21,50.0,1.0
2025-07-21,50.0,1.0
2025-07-21,50.0,1.0
2025-07-22,50.0,1.0
2025-07-22,50.0,1.0
2025-07-22,50.0,1.0
2025-07-23,50.0,1.0
2025-07-23,50.0,1.0
2025-07-23,50.0,1.0
2025-07-24,50.0,1.0
2025-07-24,50.0,1.0
2025-07-24,50.0,1.0
2025-07-25,50.0,1.0
2025-07-25,50.0,1.0
2025-07-25,50.0,1.0
2025-07-26,50.0,1.0
2025-07-26,50.0,1.0
2025-07-26,50.0,1.0
2025-07-27,50.0,1.0
2025-07-27,50.0,1.0
2025-07-27,50.0,1.0
2025-07-28,50.0,1.0
2025-07-28,50.0,1.0
2025-07-28,50.0,1.0
2025-07-29,50.0,1.0
2025-07-29,50.0,1.0
2025-07-29,50.0,1.0
2025-07-30,50.0,1.0
2025-07-30,50.0,1.0
2025-07-30,50.0,1.0
2025-07-31,50.0,1.0
2025-07-31,50.0,1.0
2025-07-31,50.0,1.0
2025-08-01,50.0,1.0
2025-08-01,50.0,1.0
2025-08-01,50.0,1.0
2025-08-02,50.0,1.0
2025-08-02,50.0,1.0
2025-08-02,50.0,1.0
2025-08-03,50.0,1.0
2025-08-03,50.0,1.0
2025-08-03,50.0,1.0
2025-08-04,50.0,1.0
2025-08-04,50.0,1.0
2025-08-04,50.0,1.0
2025-08-05,50.0,1.0
2025-08-05,50.0,1.0
2025-08-05,50.0,1.0
2025-08-06,50.0,1.0
2025-08-06,50.0,1.0
2025-08-06,50.0,1.0
2025-08-07,50.0,1.0
2025-08-07,50.0,1.0
2025-08-07,50.0,1.0
2025-08-08,50.0,1.0
2025-08-08,50.0,1.0
2025-08-08,50.0,1.0
2025-08-09,50.0,1.0
2025-08-09,50.0,1.0
2025-08-09,50.0,1.0
2025-08-10,50.0,1.0
2025-08-10,50.0,1.0
2025-08-10,50.0,1.0
2025-08-11,50.0,1.0
2025-08-11,50.0,1.0
2025-08-11,50.0,1.0
2025-08-12,50.0,1.0
2025-08-12,50.0,1.0
2025-08-12,50.0,1.0
2025-08-13,50.0,1.0
2025-08-13,50.0,1.0
2025-08-13,50.0,1.0
2025-08-14,50.0,1.0
2025-08-14,50.0,1.0
2025-08-14,50.0,1.0
2025-08-15,50.0,1.0
2025-08-15,50.0,1.0
2025-08-15,50.0,1.0
